"Product ID [Non Editable]","Variant ID [Non Editable]","Product Type [Non Editable]","Product Page","Product URL","Title","Description","SKU","Option Name 1","Option Value 1","Option Name 2","Option Value 2","Option Name 3","Option Value 3","Option Name 4","Option Value 4","Option Name 5","Option Value 5","Option Name 6","Option Value 6","Price","Sale Price","On Sale","Stock","Categories","Tags","Weight","Length","Width","Height","Visible","Hosted Image URLs"
"6004d194e419c95e28e57666","a52e5b94-b908-45e1-b9b3-3fe82fd5e701","PHYSICAL","shop-all","cloth-pad-set","BugaluBaby Eco-Friendly Bamboo Cloth Menstrual/Incontinence Pads, Set of 9 with Travel Wet Bag","<p class="""">Let’s face it, no one enjoys wearing pads. Whether you wear them for a menstrual cycle or for incontinence, it is just one more step in our already busy lives. So why compound the issue by adding in the expense, health risks, and environmental damage of disposable pads? It’s time you start obtaining the most value for your money while preserving your health and your environment.</p><p class="""">BugaluBaby Eco-friendly Bamboo Cloth Pads offer exceptional comfort, absorbency, and are easy to wash &amp; reuse. So you can tackle your busy days without worrying about leaks, the monthly expense, or exposing your body to harmful chemicals. Investing in our reusable cloth pads will save you money, help preserve your health, reduce your household waste, and decrease your carbon footprint.</p><p class=""""><strong>Specifications: </strong></p><ul data-rte-list=""default""><li><p class="""">Comes with 9 pads + a travel wet bag. You choose the size combination that works for you.</p></li></ul><ul data-rte-list=""default""><li><p class="""">Snap-On wing closure for side leak-proof protection</p></li><li><p class="""">Highly absorbent, toxic-free, and chemical-free</p></li><li><p class="""">Materials: Bamboo Charcoal, TPU, Microfiber</p><p class=""""></p><p class=""""><strong>Bamboo is: </strong></p></li><li><p class="""">Eco-friendly renewable source</p></li><li><p class="""">Highly absorbent</p></li><li><p class="""">Natural antibacterial properties</p></li><li><p class="""">Hypoallergenic</p></li><li><p class="""">combined with Charcoal is odor-absorbing</p></li></ul><p class=""""><strong>Wash, Reuse, Repeat for a Better Tomorrow</strong></p><p class=""""></p><p class=""""><strong>Washing Instructions:</strong></p><ul data-rte-list=""default""><li><p class="""">Wash &amp; dry on cold or medium temp on the highest water level, avoid high temps</p></li><li><p class="""">Avoid adding ""extra"" detergent so you get a complete rinse</p></li><li><p class="""">Avoid bleach or other harsh chemicals to extend the life of your product.</p></li><li><p class="""">Avoid fabric softeners for maximum absorption.</p></li></ul><p class=""""></p><p class=""""><strong>-Purchase Alert-</strong></p><p class="""">Due to sanitization reasons, all bamboo cloth menstrual pads sales are final once opened. If you find that you have a defective product upon arrival or have other concerns, please do not hesitate to contact me, and we can discuss your situation further.</p>","MP-3SM-3MED-3LRG-WB","Style","3 SM, 3 MED, 3 LRG","","","","","","","","","","","30.00","0.00","No","20","/cloth-pads","cloth menstrual pad, reusable pads, best postpartum pads, period kit, reusable panty liner, best reusable pads, reusable period pads, my first period kit, incontinence pad, cloth panty liners, washable pads, cloth period pads, bamboo pads, the best cloth menstrual pads, which is the best cotton pads for periods, which is the best pads for periods, what are the best reusable menstrual pads, cloth menstrual pads and garments, cloth menstrual pads advantages and disadvantages, cloth menstrual pads benefits, cloth menstrual pads brands, cloth menstrual pads bacteria, cloth menstrual pads blood, cloth menstrual pads by hand, reusable menstrual pads bulk, reusable menstrual pads bamboo, cloth menstrual pads smell, cloth menstrual pads diy, cloth menstrual pads near me, cloth menstrual pads etsy, cloth menstrual pads care instructions, cloth menstrual pads cleaning, cloth menstrual pads cheap, cloth menstrual pads custom, cloth menstrual pad comparison, cloth sanitary pads canada, reusable menstrual pads cleaning, reusable menstrual pads charity, cloth sanitary pads design, reusable sanitary pads diy, cloth menstrual pads vs disposable, reusable menstrual pads vs disposable, cloth menstrual pads experience, reusable menstrual pads eco friendly, reusable menstrual pads europe, cloth sanitary pads etsy, reusable menstrual pads edmonton, cloth menstrual pads for tweens, cloth menstrual pads for overnight, cloth menstrual pads front bleeder pattern, cloth sanitary pads for sale, cloth menstrual pads good, how to use menstrual cloth pads, how many cloth menstrual pads do i need, what are the best pads for periods, are cloth menstrual pads safe, cloth menstrual pads heavy flow, cloth menstrual pads how to use, cloth menstrual pads how to wash, cloth menstrual pads how many, cloth menstrual pads hygiene, cloth menstrual pads heavy, cloth menstrual pad history, cloth menstrual pad how to clean, reusable menstrual pads heavy flow, cloth menstrual pad instructions, reusable menstrual pads in stores, reusable menstrual pads instructions, reusable menstrual pad kits, cloth sanitary pad kit, reusable sanitary pads kit, cloth menstrual pads starter kit, reusable menstrual pads starter kit, cloth sanitary pads starter kit, cloth menstrual pad layers, reusable menstrual pads long, cloth sanitary pad liners, reusable sanitary pads light flow, reusable sanitary pads large, do reusable menstrual pads leak, cloth menstrual pads materials, reusable menstrual pads materials, reusable sanitary pads near me, reusable sanitary pads night, benefits of cloth menstrual pads, care of cloth menstrual pads, cloth menstrual pads pattern, cloth menstrual pads pros and cons, cloth menstrual pads postpartum, cloth pads menstrual period","0.5","10.5","8.0","2.0","Yes","https://static1.squarespace.com/static/5e6b89df206ca56e86432687/6004d194e419c95e28e57661/60297272b833c969be2ce0c3/1613329017502/cloth+pads.jpg https://static1.squarespace.com/static/5e6b89df206ca56e86432687/6004d194e419c95e28e57661/6029727192b183086c09ff97/1613329016085/cloth+pads+inner.jpg https://static1.squarespace.com/static/5e6b89df206ca56e86432687/6004d194e419c95e28e57661/60297272df31d1560b715c18/1613329021541/larges.jpg https://static1.squarespace.com/static/5e6b89df206ca56e86432687/6004d194e419c95e28e57661/602972728dc2905ea76e82ec/1613329022913/mediums.jpg https://static1.squarespace.com/static/5e6b89df206ca56e86432687/6004d194e419c95e28e57661/60297272e1e0ff6f6ab2e1f0/1613329020153/smalls.jpg https://static1.squarespace.com/static/5e6b89df206ca56e86432687/6004d194e419c95e28e57661/6029727118eabb14587acc4c/1613329020136/bags.jpg https://static1.squarespace.com/static/5e6b89df206ca56e86432687/6004d194e419c95e28e57661/60297272b8f0dd4d6310f660/1613329018788/pad+layers+png.png https://static1.squarespace.com/static/5e6b89df206ca56e86432687/6004d194e419c95e28e57661/60297272dca72f2888237320/1613329014182/Screenshot_20200324-192018_eBay.jpg"
"","67666e3f-e59f-4362-b0dc-74d6e5d4860e","","","","","","MP-6SM-3MED-WB","Style","6 SM, 3 MED","","","","","","","","","","","30.00","0.00","No","20","","","0.5","10.5","8.0","2.0","",""
"","d9267e1d-7d54-4f64-b1f4-57b4530f2cc9","","","","","","MP-6MED-3LRG-WB","Style","6 MED, 3 LRG","","","","","","","","","","","30.00","0.00","No","20","","","0.5","10.5","8.0","2.0","",""
"","988574c7-53f5-4701-a7d0-0bf9233d3a3c","","","","","","MP-9SM-WB","Style","9 SM","","","","","","","","","","","30.00","0.00","No","20","","","0.5","10.5","8.0","2.0","",""
"","a3779bf7-89b4-4087-8b7a-056aa17401b3","","","","","","MP-9MED-WB","Style","9 MED","","","","","","","","","","","30.00","0.00","No","20","","","0.5","10.5","8.0","2.0","",""
"","98517f30-9222-4c0e-a7c0-f62cc93d9082","","","","","","MP-9LRG-WB","Style","9 LRG","","","","","","","","","","","30.00","0.00","No","20","","","0.5","10.5","8.0","2.0","",""
"6004d194e419c95e28e57686","d2530577-2ac0-4eb0-b97f-3d28fdb7f4f9","PHYSICAL","shop-all","cloth-pad-trial-set","BugaluBaby Eco-Friendly Bamboo Cloth Menstrual/Incontinence Pads, Build Your Trial Set of 3","<p class="""">Let’s face it, no one enjoys wearing pads. Whether you wear them for a menstrual cycle or for incontinence, it is just one more step in our already busy lives. So why compound the issue by adding in the expense, health risks, and environmental damage of disposable pads? It’s time you start obtaining the most value for your money while preserving your health and your environment.</p><p class="""">BugaluBaby Eco-friendly Bamboo Cloth Pads offer exceptional comfort &amp; absorbency while being chemical and plastic-free. Our wash &amp; reuse pads are durable enough to stand up to wash after wash, saving you hundreds of dollars a year and decreasing your household waste. Investing in our reusable cloth pads will save you money, help preserve your health, reduce your household waste, and decrease your carbon footprint. So make a positive change today for your health, your wallet, and your environment.</p><p class="""">Not ready to commit? Try our trial size of 3 pads so you can which size works for you.</p><p class=""""><strong>Specifications:</strong></p><ul data-rte-list=""default"" style=""margin-left:40px;""><li><p class="""">Comes with 3 pads in either small, medium, large, or one of each plus 1 travel wet bag per total order</p></li><li><p class="""">Snap-On wing closure for side leak-proof protection</p></li><li><p class="""">Highly absorbent, toxic-free, and chemical-free</p></li><li><p class="""">Materials: Bamboo Charcoal, TPU, Microfiber</p></li></ul><p class=""""><strong>Bamboo is:</strong></p><ul data-rte-list=""default"" style=""margin-left:40px;""><li><p class="""">Eco-friendly renewable source</p></li><li><p class="""">Highly absorbent</p></li><li><p class="""">Natural antibacterial properties</p></li><li><p class="""">Hypoallergenic</p></li><li><p class="""">combined with Charcoal is odor-absorbing</p></li></ul><p class=""""></p><p class=""""><strong>Wash, Reuse, Repeat for a Better Tomorrow</strong></p><p class=""""></p><p class=""""><strong>Washing Instructions:</strong></p><ul data-rte-list=""default"" style=""margin-left:40px;""><li><p class="""">Wash &amp; dry on cold or medium temp on the highest water level, avoid high temps</p></li><li><p class="""">Avoid adding ""extra"" detergent so you get a complete rinse</p></li><li><p class="""">Avoid bleach or other harsh chemicals to extend the life of your product.</p></li><li><p class="""">Avoid fabric softeners for maximum absorption.</p></li></ul><p class=""""></p><p class=""""><strong>-Purchase Alert-</strong></p><p class="""">Due to sanitization reasons, all bamboo cloth menstrual pads sales are final once opened. If you find that you have a defective product upon arrival or have other concerns, please do not hesitate to contact me, and we can discuss your situation further.</p>","MP-TRIAL-3SM-WB","Size","Small, Light Flow","","","","","","","","","","","12.00","0.00","No","20","/cloth-pads","the best cloth menstrual pads, which is the best cotton pads for periods, which is the best pads for periods, what are the best reusable menstrual pads, cloth menstrual pads and garments, cloth menstrual pads advantages and disadvantages, cloth menstrual pads benefits, cloth menstrual pads brands, cloth menstrual pads bacteria, cloth menstrual pads blood, cloth menstrual pads by hand, reusable menstrual pads bulk, reusable menstrual pads bamboo, cloth menstrual pads smell, cloth menstrual pads diy, cloth menstrual pads near me, cloth menstrual pads etsy, cloth menstrual pads care instructions, cloth menstrual pads cleaning, cloth menstrual pads cheap, cloth menstrual pads custom, cloth menstrual pad comparison, cloth sanitary pads canada, reusable menstrual pads cleaning, reusable menstrual pads charity, cloth sanitary pads design, reusable sanitary pads diy, cloth menstrual pads vs disposable, reusable menstrual pads vs disposable, cloth menstrual pads experience, reusable menstrual pads eco friendly, reusable menstrual pads europe, cloth sanitary pads etsy, reusable menstrual pads edmonton, cloth menstrual pads for tweens, cloth menstrual pads for overnight, cloth menstrual pads front bleeder pattern, cloth sanitary pads for sale, cloth menstrual pads good, how to use menstrual cloth pads, how many cloth menstrual pads do i need, what are the best pads for periods, are cloth menstrual pads safe, cloth menstrual pads heavy flow, cloth menstrual pads how to use, cloth menstrual pads how to wash, cloth menstrual pads how many, cloth menstrual pads hygiene, cloth menstrual pads heavy, cloth menstrual pad history, cloth menstrual pad how to clean, reusable menstrual pads heavy flow, cloth menstrual pad instructions, reusable menstrual pads in stores, reusable menstrual pads instructions, reusable menstrual pad kits, cloth sanitary pad kit, reusable sanitary pads kit, cloth menstrual pads starter kit, reusable menstrual pads starter kit, cloth sanitary pads starter kit, cloth menstrual pad layers, reusable menstrual pads long, cloth sanitary pad liners, reusable sanitary pads light flow, reusable sanitary pads large, do reusable menstrual pads leak, cloth menstrual pads materials, reusable menstrual pads materials, reusable sanitary pads near me, reusable sanitary pads night, benefits of cloth menstrual pads, care of cloth menstrual pads, cloth menstrual pads pattern, cloth menstrual pads pros and cons, cloth menstrual pads postpartum, cloth pads menstrual period","0.25","10.5","8.0","2.0","Yes","https://static1.squarespace.com/static/5e6b89df206ca56e86432687/6004d194e419c95e28e57661/60296110d1129c159de83a19/1613324563565/cloth+pads.jpg https://static1.squarespace.com/static/5e6b89df206ca56e86432687/6004d194e419c95e28e57661/60296112a97a3f7a6cc5ccbf/1613324565982/cloth+pads+inner.jpg https://static1.squarespace.com/static/5e6b89df206ca56e86432687/6004d194e419c95e28e57661/602970835298ff05db4ef8c6/1613328521123/larges.jpg https://static1.squarespace.com/static/5e6b89df206ca56e86432687/6004d194e419c95e28e57661/6029708718eabb14587aa517/1613328523936/mediums.jpg https://static1.squarespace.com/static/5e6b89df206ca56e86432687/6004d194e419c95e28e57661/6029708ddd82da0ae905cc3b/1613328529320/smalls.jpg https://static1.squarespace.com/static/5e6b89df206ca56e86432687/6004d194e419c95e28e57661/60297091d78caf0cbc19b774/1613328533671/bags.jpg https://static1.squarespace.com/static/5e6b89df206ca56e86432687/6004d194e419c95e28e57661/602970a81d710104c8c73c29/1613328555614/pad+layers+png.png https://static1.squarespace.com/static/5e6b89df206ca56e86432687/6004d194e419c95e28e57661/602970adacde6209a8d0f885/1613328559640/Screenshot_20200324-192018_eBay.jpg"
"","94919b06-6f81-4c35-b0ac-8c2594a2e1ad","","","","","","MP-TRIAL-3MED-WB","Size","Medium, Med Flow","","","","","","","","","","","12.00","0.00","No","20","","","0.25","10.5","8.0","2.0","",""
"","5b995fa5-79fc-46b4-ace1-c2d247ae3dbc","","","","","","MPTRIAL-3LRG-WB","Size","Large, Heavy Flow","","","","","","","","","","","12.00","0.00","No","20","","","0.25","10.5","8.0","2.0","",""
"","ec487bb5-ae54-4ed6-941a-ca1c127cad55","","","","","","MP-TRIAL-1SM-1MD-1LG","Size","1 of each","","","","","","","","","","","12.00","0.00","No","20","","","0.25","10.5","8.0","2.0","",""
